City_Geo_ID,Block_GeoID,NatWalkInd,TotPop,Workers,CountHU,HH,D2B_E8MIXA,D2A_EPHHM,D3B,D4A,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked
['1664090'],['160050011022'],[6.5],[1011.671674638035],[417.86438735049273],[339.5483404272938],[339.5483404272938],[0.5467149328234954],[0.6539028140352986],[14.691066594548934],[-99999.0],[15.0],[10.0],[6.0],[1.0]
['1664090'],['160050012001'],[9.833333333333334],[922.0000000000002],[337.00000000000006],[324.00000000000006],[324.00000000000006],[0.6368462055782689],[0.756461641544439],[90.64706536196007],[-99999.0],[18.0],[13.0],[13.0],[1.0]
['1664090'],['160050012002'],[10.333333333333334],[763.9999998639437],[436.9999999221772],[304.9999999456843],[275.99999995084875],[0.7615954313037039],[0.906586923043285],[63.89530333131309],[-99999.0],[20.0],[18.0],[11.0],[1.0]
['1664090'],['160050013001'],[8.5],[855.0000000000002],[497.0000000000001],[429.0000000000001],[340.00000000000006],[0.33599935589564084],[0.5837094510922879],[121.7812328530606],[-99999.0],[13.0],[4.0],[16.0],[1.0]
['1664090'],['160050013002'],[11.166666666666668],[1011.0],[378.0],[386.0],[362.0],[0.7495482158301642],[0.8563114318531369],[94.17563364521351],[-99999.0],[20.0],[17.0],[14.0],[1.0]
['1664090'],['160050013003'],[10.833333333333334],[826.9999999999995],[408.9999999999998],[381.9999999999998],[312.99999999999983],[0.7280692135824953],[0.6823823140113787],[110.8794817367411],[-99999.0],[16.0],[17.0],[15.0],[1.0]
['1614680'],['160050014001'],[8.5],[77.59032727335371],[27.596917117779064],[26.556832301782364],[26.556832301782364],[0.5982939550591724],[0.8304155059483496],[46.06626686494015],[-99999.0],[19.0],[12.0],[9.0],[1.0]
['1664090'],['160050014001'],[8.5],[1026.8971626374],[365.24135007121106],[351.4759725559644],[351.4759725559644],[0.5982939550591724],[0.8304155059483496],[46.06626686494015],[-99999.0],[19.0],[12.0],[9.0],[1.0]
['1664090'],['160050014002'],[9.833333333333334],[574.9999999999998],[416.9999999999999],[310.9999999999999],[310.9999999999999],[0.7374844013989345],[0.9413689227768078],[60.30284510864224],[-99999.0],[20.0],[17.0],[10.0],[1.0]
['1664090'],['160050014004'],[10.500000000000002],[998.0000000000009],[451.0000000000004],[437.0000000000004],[382.00000000000034],[0.7568206647171472],[0.7181843576439587],[89.83121601848094],[-99999.0],[17.0],[18.0],[13.0],[1.0]
['1664090'],['160050014005'],[9.833333333333334],[1169.0],[528.0],[540.0],[457.0],[0.8479466063591607],[0.7175018875276798],[58.298883274809356],[-99999.0],[17.0],[20.0],[10.0],[1.0]
['1614680'],['160050015001'],[4.666666666666666],[0.17266001789596722],[0.09352417636031558],[0.06407305351608159],[0.06407305351608159],[0.25319883156435297],[0.600205715190308],[8.138174583239199],[-99999.0],[13.0],[3.0],[5.0],[1.0]
['1664090'],['160050015001'],[4.666666666666666],[307.3952060154395],[166.5057365916964],[114.07243973229201],[114.07243973229201],[0.25319883156435297],[0.600205715190308],[8.138174583239199],[-99999.0],[13.0],[3.0],[5.0],[1.0]
