NAME,NAMELSAD,state_abbr,city_id,city_state_name,population,house_units,miles_driven_pC,agg_vehi_consum_pC,gasoline_consume_pC,diesel_consume_pC,agg_vehi_emitGHG_pC,agg_nonvehi_emitGHG_pC,agg_combined_emitGHG_pC,driveGasoline_emitGHG_pC,driveDiesel_emitGHG_pC,wlk_NatWalkInd_avg,wlk_PeopleCounted,wlk_Workers,wlk_CountHU,wlk_HH,wlk_D2A_EPHHM_avg,wlk_D2B_E8MIXA_avg,wlk_D3B_avg,wlk_D4A_avg,wlk_D2A_Ranked_avg,wlk_D2B_Ranked_avg,wlk_D3B_Ranked_avg,wlk_D4A_Ranked_avg
Dutton,Dutton town,MT,3022600,"Dutton town, MT",0.8442569447255379,140.498168489999,2218.623493975904,116.42168674698796,103.53313253012048,12.88855421686747,1.2807983033373496,2.735406495388749,4.016204798726099,1.1176908554843374,0.163107447853012,6.0,0.8442569447255379,0.321278666678831,0.3940345979222434,0.3428893393253891,0.6118703620484797,0.7607864788826479,0.5362466306149535,,13.999999999999998,18.0,1.0,1.0
Fort Benton,Fort Benton city,MT,3028000,"Fort Benton city, MT",502.63128650756255,613.331893125,2769.5464150943394,142.00679245283018,127.97735849056605,14.02943396226415,1.5591237709941137,8.45001500276279,10.009138773756904,1.3815782426203775,0.1775455283737358,9.49475776753021,502.63128650756255,165.5735213402684,274.3286463917896,218.9683719616704,0.8272678836831424,0.9455020401799044,35.96378718633788,,18.989154001786645,19.99457700089332,7.992407801250651,1.0
Harlem,Harlem city,MT,3034375,"Harlem city, MT",139.68813384455797,277.588976521,1855.740614334471,95.65301478953356,87.35267349260523,8.300341296928327,1.0480574968482368,3.5725848453913955,4.620642342239632,0.9430148782216156,0.1050426186266211,7.999999043340346,139.68813384455797,24.00140529318133,56.64330842433391,51.202983572402815,0.67998049083519,0.7039285524386789,24.49497090852702,,15.999999324710837,15.99999898706625,6.999997974132502,1.0
Wibaux,Wibaux town,MT,3080350,"Wibaux town, MT",1.4161020864280764,283.955390176,6215.50998185118,356.47549909255895,257.6152450090744,98.86025408348458,4.0321806466264976,6.555258830899073,10.58743947752557,2.781082698296915,1.2510979483295823,6.499999999999999,1.4161020864280764,0.6086225988478116,0.7134744129067414,0.5989810527274502,0.655093848847532,0.8872250807185192,0.2893793453110643,,15.0,20.0,1.0,1.0
Culbertson,Culbertson town,MT,3018475,"Culbertson town, MT",7.9445411499390115,251.586206624,2318.9715976331363,123.39289940828402,105.91952662721891,17.473372781065088,1.3645824689126629,4.120519685314147,5.48510215422681,1.1434531481410652,0.2211293207715976,7.166666666666666,7.9445411499390115,3.2816424353307005,3.5041266682344765,2.7161616767002688,0.8062358916759758,0.9134558647396722,0.8117293065845383,,19.0,20.0,1.0,1.0
Clyde Park,Clyde Park town,MT,3015550,"Clyde Park town, MT",0.8693097856759445,115.30866627,4744.126829268293,246.50243902439024,220.11219512195123,26.390243902439025,2.710193171262439,5.015291562041383,7.725484733303823,2.376218913272196,0.3339742579902439,4.833333333333332,0.8693097856759445,0.331408422691709,0.5362018326114575,0.3883426901797719,0.5708885586132981,0.6320674959182726,0.5458152864658683,,12.0,13.0,1.0,1.0
Grass Range,Grass Range town,MT,3032575,"Grass Range town, MT",0.0744289610673547,61.338072604,2548.4789915966385,132.0084033613445,110.0,22.00840336134453,1.466024971959664,4.631421615756736,6.097446587716401,1.1875038560000002,0.2785211159596638,5.666666666666666,0.0744289610673547,0.0227273086552594,0.0373632194646673,0.0302237507771512,0.6542889225212757,0.6841105089648004,0.1105103221968908,,15.0,15.0,1.0,1.0
Lewistown,Lewistown city,MT,3043375,"Lewistown city, MT",2450.616637651903,2752.220708384,2875.990115882754,153.9585889570552,134.50187457396046,19.456714383094752,1.698242526877437,4.322968463278356,6.021210990155793,1.4520135881436949,0.2462289387337423,10.054684304816057,2450.616637651903,1117.2837155021064,1372.5740480370955,1201.4337876038949,0.7514220684204618,0.7885300833979131,99.08585679602712,,16.42624742621209,15.398100332923176,13.25187903488054,1.0
Winifred,Winifred town,MT,3081025,"Winifred town, MT",0.2787580604612504,86.770931884,3939.674846625767,210.71779141104287,181.59509202453987,29.12269938650307,2.328962001899386,3.490741450000411,5.819703451899797,1.9604079273619632,0.3685540745374233,5.666666666666666,0.2787580604612504,0.0851203669833714,0.139936100695176,0.1131967183967347,0.6542889225212757,0.6841105089648004,0.1105103221968908,,15.000000000000002,15.000000000000002,1.0,1.0
Superior,Superior town,MT,3072625,"Superior town, MT",4.516673257783989,296.541566650999,13439.984639016897,783.8801843317972,525.7188940092166,258.16129032258067,8.9424799512,6.2374295641295765,15.179909515329577,5.6753928528,3.2670870984,6.088975039648496,4.516673257783989,1.471992322378985,2.2768444670985635,1.7185325295784024,0.670565042220644,0.7482268661367086,0.6310215310806981,,15.733074881054506,16.80077535683648,1.0,1.0
Kalispell,Kalispell city,MT,3040075,"Kalispell city, MT",17967.816183810493,8831.438722776,5260.999537443915,271.1380267357417,239.7553078310745,31.38271890466719,2.9854310437471856,6.1283958205187785,9.113826864265963,2.588275932235164,0.3971551115120218,9.75554335637941,17967.816183810493,8511.906580028164,7742.996228092269,7212.357684404977,0.6979949435114526,0.7124385119520862,97.65767784847768,,15.567797663010207,15.4008232812613,12.782319597002468,1.0
Winnett,Winnett town,MT,3081100,"Winnett town, MT",0.2627184728089848,86.370370284,5826.3375,313.40625,265.5875,47.81875,3.472303742495,5.792167986558989,9.26447172905399,2.8671470941400004,0.6051566483549999,5.0,0.2627184728089848,0.1149393318539308,0.1800108054431932,0.1137230426279633,0.5527321495587318,0.6518988423419331,0.1641561314368385,,12.0,14.0,1.0,1.0
Whitefish,Whitefish city,MT,3079825,"Whitefish city, MT",4795.36181231689,2919.64535975199,6871.9214171161975,363.599941682461,324.26461583321185,39.33532584924916,3.9983923643963264,6.111635973540075,10.110028337936402,3.5005952878754343,0.4977970765208921,8.66420038680711,4795.36181231689,1829.08613656735,2996.64054661348,2114.093634349452,0.6383669538160687,0.6019953536183968,80.93960111243855,-99998.99999999996,14.000225600604598,12.152188067681166,11.916394326278445,1.0
Fairview,Fairview town,MT,3025300,"Fairview town, MT",1.6787916985479017,333.019857943,4224.597435897436,228.92820512820512,196.02820512820512,32.9,2.532577082488205,3.924286243155663,6.456863325643868,2.1162204497682056,0.41635663272,6.499999993638808,1.6787916985479017,0.6701549712275676,0.7479668693476724,0.6166592909757579,0.658356073105619,0.8393061177750184,0.4546004070748698,,14.999999999999998,19.999999954893365,1.0000000034697414,1.0
Darby,Darby town,MT,3019300,"Darby town, MT",435.2186132596268,248.777968812999,2662.474302496329,142.84728340675477,122.81057268722466,20.036710719530102,1.5793691783295156,5.4903838007786,7.069752979108115,1.325800260214978,0.2535689181145374,10.659091097010434,435.2186132596268,115.46860597623484,222.1036029299569,192.2608021216587,0.767229837082195,0.8410755704555476,74.07625623803531,,17.988636645515648,19.99090931641252,11.987500310067212,1.0
Pinesdale,Pinesdale town,MT,3057700,"Pinesdale town, MT",272.58147803826154,167.840551278,1431.1519916142558,73.62368972746332,66.78406708595388,6.839622641509434,0.8075236090306082,1.241937285544892,2.0494608945755,0.7209667016721175,0.0865569073584905,3.666666667302584,272.58147803826154,85.10666192594006,81.50426356718086,75.65036618231,0.3689732763929789,0.309798581425136,8.68500452282101,,6.000000006677128,4.000000004769378,4.999999996184498,1.0
